reviewed by,Study,pub_reference,pub_year,loc_city.state,loc_state,lat,long,exp_type,reps,MAP,MAT,arridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,cropsys_tillage,cc_tillage,cc_pDATE,cc_pDATE_DOYFORMULA DO NOT USE IN R,cc_pDATE_DOY,cc_pMNTH,cc_pMNTH2,cc_pDEN_kg.ha,cc_pMETH,cc_termDATE,CC_termDATE_DOYformula do not use,CC_termDATE_DOY,cc_termMETH,cc_termMETH2,crop_follow,crop_pDATE,cc_bm_kg.ha,cc_bmSE,cced_wd.den_num.m2,cced_wd.denSE,ctl_wd.den_num.m2,ctl_wd.denSE,cced_wd.bm_g.m2,cced_wd.bmSE,ctl_wd.bm_g.m2,ctl_wdbmSE,cced_yield_kg.ha,cced_yieldSE,ctl_yield_kg.ha,ctl_yieldSE
DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,,,,,silt loam,,cereal rye,grass,N,N,11-Oct,18284,284,Oct,10,125,drilled,20-May,18140,140,herbicide + mowing,D,soybean,29-May,986,.,0,.,0,.,0,.,0,.,1750,.,1850,.
DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,,,,,silt loam,,cereal rye,grass,N,N,11-Oct,18284,284,Oct,10,125,drilled,20-May,18140,140,mowing,M,soybean,29-May,986,.,25.8,.,0,.,85.2,.,0,.,1090,.,1850,.
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,7-Jun,18158,158,June,6,125,"drilled/interseeded with soybean, 444k seeds/ha SR",soy harvest,.,.,n/a,.,soybean,7-Jun,3655,136,.,.,.,.,39,277,301,277,2573,349,2540,349
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,7-Jun,18158,158,June,6,125,"drilled/interseeded with soybean, 889k seeds/ha SR",soy harvest,.,.,n/a,.,soybean,7-Jun,242,136,.,.,.,.,26,277,18,277,3024,349,2849,349
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,7-Jun,18158,158,June,6,125,drilled/interseeded with soybean 1.3 mill seeds/ha SR,soy harvest,.,.,n/a,.,soybean,7-Jun,161,136,.,.,.,.,0,277,7,277,3017,349,2950,349
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,20-May,18140,140,May,5,125,"drilled/interseeded with soybean, 444k seeds/ha SR",soy harvest,.,.,n/a,.,soybean,20-May,1264,493,.,.,.,.,72,950,1335,950,826,430,1068,430
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,20-May,18140,140,May,5,125,"drilled/interseeded with soybean, 889k seeds/ha SR",soy harvest,.,.,n/a,.,soybean,20-May,1030,493,.,.,.,.,114,950,605,950,1344,430,1848,430
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,20-May,18140,140,May,5,125,drilled/interseeded with soybean 1.3 mill seeds/ha SR,soy harvest,.,.,n/a,.,soybean,20-May,796,493,.,.,.,.,45,950,381,950,1720,430,2102,430
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,30-May,18150,150,May,5,125,"drilled/interseeded with soybean, 444k seeds/ha SR",soy harvest,.,.,n/a,.,soybean,30-May,1,.,.,.,.,.,328,.,732,.,2365,390,2929,390
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,30-May,18150,150,May,5,125,"drilled/interseeded with soybean, 889k seeds/ha SR",soy harvest,.,.,n/a,.,soybean,30-May,0,.,.,.,.,.,40,.,84,.,2681,390,3286,390
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,30-May,18150,150,May,5,125,drilled/interseeded with soybean 1.3 mill seeds/ha SR,soy harvest,.,.,n/a,.,soybean,30-May,0,.,.,.,.,.,631,.,167,.,2768,390,3151,390
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,Y,20-May,18140,140,May,5,125,drilled/interseeded with soybean w. mech cultivation,soy harvest,.,.,n/a,.,soybean,20-May,486,447,.,.,.,.,20,438,6,438,1989,457,2399,457
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,20-May,18140,140,May,5,125,drilled/interseeded with soybean NO mech cultivation,soy harvest,.,.,n/a,.,soybean,20-May,1240,447,.,.,.,.,310,438,1883,438,847,457,1498,457
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,Y,30-May,18150,150,May,5,125,drilled/interseeded with soybean w. mech cultivation,soy harvest,.,.,n/a,.,soybean,30-May,0,.,.,.,.,.,1267,.,6,.,2520,847,3171,847
AB,4,Thelen et al. 2004,2004,"Hickory Corners, MI",MI,42.441583,-85.376088,RCBD,4,,,,,sandy loam,,cereal rye,grass,N,N,30-May,18150,150,May,5,125,drilled/interseeded with soybean NO mech cultivation,soy harvest,.,.,n/a,.,soybean,30-May,62,.,.,.,.,.,1627,.,1996,.,1774,847,2392,847
GN,5,Czapar et al. 2002,2002,"Kilbourne, IL",IL,,,,,,,,,Plainfield sand,,vetch,legume,N,N,"""fall""",.,,?,.,45,drilled,5/17/2018,18137,137,herbicide,H,corn,11-May,,,75,,73,,,,,,3456,,2416,
GN,5,Czapar et al. 2002,2002,"Kilbourne, IL",IL,,,,,,,,,Plainfield sand,,vetch,legume,N,N,"""fall""",.,,?,.,45,drilled,5/24/2018,18144,144,herbicide,H,corn,11-May,,,79,,73,,,,,,2815,,2416,
GN,5,Czapar et al. 2002,2002,"Kilbourne, IL",IL,,,,,,,,,Plainfield sand,,vetch,legume,N,N,"""fall""",.,,?,.,45,drilled,6/7/2018,18158,158,herbicide,H,corn,11-May,,,87,,73,,,,,,2905,,2416,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,3.1,.,53,,91,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,5.3,.,29,,91,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,4.1,.,20.3,,91,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.9,.,29,,91,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2.2,.,19.5,,30.5,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,1.8,.,39.5,,30.5,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,1.3,.,17.3,,30.5,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,.,.,.,,30.5,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2,.,21,,26.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,2.3,.,19.5,,26.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,2.2,.,20.5,,26.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.4,.,22.5,,26.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2.8,.,29.3,,81.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,2.4,.,57.5,,81.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,1.6,.,27.8,,81.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.7,.,77.3,,81.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,3.1,,,,,,65.7,,234,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,5.3,,,,,,52.5,,234,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,4.1,,,,,,51.4,,234,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.9,,,,,,46.2,,234,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2.2,,,,,,19.9,,43,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,1.8,,,,,,35.1,,43,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,1.3,,,,,,12.5,,43,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,.,,,,,,.,,43,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2,,,,,,70.8,,124,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,2.3,,,,,,51.7,,124,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,2.2,,,,,,42.4,,124,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.4,,,,,,74.4,,124,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2.8,,,,,,9.4,,76.3,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,2.4,,,,,,41.1,,76.3,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,1.6,,,,,,26.3,,76.3,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.7,,,,,,56.6,,76.3,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,3.1,,4,,42.1,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,5.3,,4.8,,42.1,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,4.1,,46.5,,42.1,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.9,,7.8,,42.1,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2.2,,29.8,,37.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,1.8,,36.3,,37.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,1.3,,10.5,,37.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,.,,.,,37.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2,,22.5,,18.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,2.3,,14,,18.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,2.2,,17.3,,18.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.4,,24.5,,18.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,2.8,,5.8,,12.3,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,2.4,,15.5,,12.3,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,1.6,,13,,12.3,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,1.7,,9.8,,12.3,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,2.2,,8.6,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,2.4,,8.6,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,2.3,,8.6,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,,,,,,,2.9,,8.6,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,4.7,,7.9,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,12.2,,7.9,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,4.5,,7.9,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,,,,,,,.,,7.9,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,,,12.6,,15.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,,,19,,15.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,,,9.8,,15.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,,,13.8,,15.8,,,,,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,2.3,,8,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,6.4,,8,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,1.5,,8,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,,,,,,,5.5,,8,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,2.6,,9.9,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,5.4,,9.9,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,2.8,,9.9,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,,,,,,,.,,9.9,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,1.9,,8.4,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,2.4,,8.4,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,0.1,,8.4,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,berseem clover,legume,N,N,8-Aug,18220,220,November,11,16.8,drilled,spring before corn planting,.,.,herbicide,H,corn,mid-May,,,,,,,17.4,,8.4,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,santiago medic,legume,N,N,8-Aug,18220,220,August,8,13.4,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,3.2,,13.1,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,mogul medic,legume,N,N,8-Aug,18220,220,September,9,15.7,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,10.3,,13.1,,.,,,
DW,6,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,85.4008,RCBD,4,,,,,loam,6.7,red clover,legume,N,N,8-Aug,18220,220,October,10,16.8,drilled,.,.,.,winter kill,W,corn,mid-May,,,,,,,5,,13.1,,.,,,
