obs_no,study,pub_reference,pub_year,loc_state,lat,long,reps,wgt,aridity_index,OM_pct,soil_type,cc_type,cc_type2,cropsys_tillage,msmt_season,msmt_planting,weed_group,ccpl_den_kgha,ccpl_lubdate,ccpl_doy,cc_pest,ccterm_lubdate,ccterm_doy,cc_termest,ccterm_meth,crop_follow,crop_pest,croppl_lubdate,croppl_doy,cc_bio_kgha,cc_growdays,termgap_days,bioLRR,denLRR,yieldLRR,cc_bio_Mgha
13,2,Bernstein et al. (2011),2011,WI,43.3375,-89.37376,4,2,0.8539,4.15,silt loam,grass,grass,Y,summer,after,NA,180,2018-10-15,288,Y,2019-06-01,152,Y,M,soybean,Y,2019-05-30,150,939,229,-2,-1.6486586255873816,NA,-0.36763265243627524,0.939
14,2,Bernstein et al. (2011),2011,WI,43.3375,-89.37376,4,2,0.8539,4.15,silt loam,grass,grass,Y,summer,after,NA,180,2018-10-15,288,Y,2019-06-01,152,Y,M,soybean,Y,2019-05-30,150,604,229,-2,-1.3121863889661687,NA,-0.22639648701304052,0.604
15,2,Bernstein et al. (2011),2011,WI,43.3375,-89.37376,4,2,0.8539,4.15,silt loam,grass,grass,Y,summer,after,NA,180,2018-10-15,288,Y,2019-06-01,152,Y,M,soybean,Y,2019-05-30,150,1212,229,-2,-1.6486586255873816,NA,-0.20615218610647362,1.212
16,2,Bernstein et al. (2011),2011,WI,43.3375,-89.37376,4,2,0.8539,4.15,silt loam,grass,grass,Y,summer,after,NA,180,2018-10-15,288,Y,2019-06-01,152,Y,M,soybean,Y,2019-06-30,181,186,229,29,-1.466337068793427,NA,-0.27395690503066583,0.186
17,2,Bernstein et al. (2011),2011,WI,43.3375,-89.37376,4,2,0.8539,4.15,silt loam,grass,grass,Y,summer,after,NA,180,2018-10-15,288,Y,2019-06-01,152,Y,M,soybean,Y,2019-06-30,181,345,229,29,-0.9555114450274363,NA,-0.3307946313137502,0.345
18,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-01,121,NA,H,soybean,NA,2019-05-14,134,375,195,13,-0.2827028090521737,-1.2584609896100059,0.11735060321721236,0.375
19,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-08,128,NA,H,soybean,NA,2019-05-14,134,851,202,6,-0.8076079540243509,-1.341842598549057,0.1208048380852999,0.851
20,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-20,140,NA,H,soybean,NA,2019-05-14,134,2185,214,-6,-0.7218411322669259,-1.7047480922384253,0.2530422904818432,2.185
21,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-01,121,NA,H,soybean,NA,2019-05-14,134,375,195,13,1.6778509056792301,2.179710994843511,-2.247776856499051,0.375
22,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-08,128,NA,H,soybean,NA,2019-05-14,134,851,202,6,1.234405613946696,1.7653727140548598,-1.2922654114716141,0.851
23,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-20,140,NA,H,soybean,NA,2019-05-14,134,2185,214,-6,0.8205456749157707,0.8109302162163288,-0.9855351440491389,2.185
24,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-01,121,NA,D,soybean,NA,2019-05-14,134,375,195,13,-0.2980879936128978,0.6369074622370691,-0.2876820724517809,0.375
25,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-08,128,NA,D,soybean,NA,2019-05-14,134,851,202,6,0.12671473364542474,-0.4453110166553642,-0.054262858559366973,0.851
26,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-20,140,NA,D,soybean,NA,2019-05-14,134,2185,214,-6,-1.1253644741395428,-0.5753641449035618,0.02777956410707567,2.185
27,3,"De Bruin et al., 2005",2005,MN,44.0770411,-93.50838429,4,2,0.8636,NA,silt loam,grass,grass,N,summer,after,summer annual,125,2018-10-18,291,NA,2019-05-28,148,NA,H,soybean,NA,2019-05-30,150,3768,222,2,1.8325814637483102,0.965080896043587,0.5676094356161683,3.768
28,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,spring,before,winter annual,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,3100,NA,NA,-1.2702221898671366,-0.5405675929647281,NA,3.1
29,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,spring,before,winter annual,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,5300,NA,NA,-1.4945079457601234,-1.143563676530376,NA,5.3
30,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,spring,before,winter annual,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,4100,NA,NA,-1.5156829428965821,-1.5002386204691083,NA,4.1
31,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,spring,before,winter annual,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1900,NA,NA,-1.622341317270008,-1.143563676530376,NA,1.9
32,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,spring,before,winter annual,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2200,NA,NA,-0.7704803839631158,-0.4473122180436648,NA,2.2
33,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,spring,before,winter annual,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1800,NA,NA,-0.20299898522174223,0.2585739882937103,NA,1.8
34,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,spring,before,winter annual,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1300,NA,NA,-1.235471471385307,-0.5670201821096326,NA,1.3
35,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,spring,before,winter annual,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,NA,NA,NA,NA,NA,NA,NA
36,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,spring,before,winter annual,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2000,NA,NA,-0.5604225649053629,-0.24387944979338808,NA,2
37,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,spring,before,winter annual,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2300,NA,NA,-0.8748237840906534,-0.31798742194710994,NA,2.3
38,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,spring,before,winter annual,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2200,NA,NA,-1.0731332033671248,-0.26797700137244856,NA,2.2
39,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,spring,before,winter annual,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1400,NA,NA,-0.5108256237659905,-0.17488657830643664,NA,1.4
40,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,spring,before,winter annual,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2800,NA,NA,-2.093963249014453,-1.0266897275856797,NA,2.8
41,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,spring,before,winter annual,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2400,NA,NA,-0.6186648167882224,-0.35249229580539665,NA,2.4
42,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,spring,before,winter annual,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1600,NA,NA,-1.0651039991066924,-1.07924122291211,NA,1.6
43,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,spring,before,winter annual,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1700,NA,NA,-0.29866395308127397,-0.056583288015325035,NA,1.7
44,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,summer annual,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,3100,NA,NA,-1.363304842895192,-2.3537533795684453,NA,3.1
45,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,summer annual,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,5300,NA,NA,-1.276293465905562,-2.1714318227744904,NA,5.3
46,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,summer annual,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,4100,NA,NA,-1.318853080324358,0.0994045719049748,NA,4.1
47,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,summer annual,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1900,NA,NA,-1.0870514662670336,-1.6859240069927899,NA,1.9
48,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,summer annual,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2200,NA,NA,-1.2784053991087057,-0.23780070911418308,NA,2.2
49,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,summer annual,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1800,NA,NA,-1.191394022119076,-0.040491361354736875,NA,1.8
50,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,summer annual,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1300,NA,NA,-1.233953636537872,-1.2809338454620642,NA,1.3
51,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,summer annual,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,NA,NA,NA,-1.0021520224805476,NA,NA,NA
52,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,summer annual,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2000,NA,NA,-0.604199694543449,0.17965843937447082,NA,2
53,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,summer annual,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2300,NA,NA,0.34967374847974886,-0.294799540220645,NA,2.3
54,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,summer annual,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2200,NA,NA,-0.6476848064831879,-0.08315036833217024,NA,2.2
55,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,summer annual,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1400,NA,NA,NA,0.2648162477147777,NA,1.4
56,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,summer annual,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2800,NA,NA,-0.519300250756963,-0.7517413448259983,NA,2.8
57,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,summer annual,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2400,NA,NA,0.4345731922662349,0.23124076154682902,NA,2.4
58,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,summer annual,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1600,NA,NA,-0.5627853626967019,0.0553500950831649,NA,1.6
59,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,summer annual,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1700,NA,NA,NA,-0.22721687670184557,NA,1.7
60,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,perennial,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,3100,NA,NA,-0.3184537311185346,-0.6273958029971649,NA,3.1
61,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,perennial,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,5300,NA,NA,0.6931471805599453,-0.6644370746775139,NA,5.3
62,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,perennial,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,4100,NA,NA,-0.8649974374866044,-0.08085209662909502,NA,4.1
63,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,perennial,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1900,NA,NA,-0.4054651081081643,0.23280546222594656,NA,1.9
64,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,perennial,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2200,NA,NA,1.7676619176489945,-0.68448911781683075,NA,2.2
65,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,perennial,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1800,NA,NA,0.6690496289808847,-0.212332635209994,NA,1.8
66,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,perennial,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1300,NA,NA,1.315676793905937,-0.38822330167365837,NA,1.3
67,4,"Fisk et al., 2001",2001,MI,42.4056,-85.4008,4,2,0.9202,NA,loam,legume,non-grass,N,summer,after,perennial,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,NA,NA,NA,NA,NA,NA,NA
68,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,perennial,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2000,NA,NA,-0.10919929196499197,0.17965843937447082,NA,2
69,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,perennial,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2300,NA,NA,-0.037740327982847086,-0.294799540220645,NA,2.3
70,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,perennial,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2200,NA,NA,0.12260232209233247,-0.08315036833217024,NA,2.2
71,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,perennial,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1400,NA,NA,-0.3528213746227423,0.2648162477147777,NA,1.4
72,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,perennial,13.4,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2800,NA,NA,-0.3184537311185346,-0.45198512374305727,NA,2.8
73,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,perennial,15.7,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,2400,NA,NA,-1.6094379124341003,0.1823215567939546,NA,2.4
74,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,perennial,16.8,2018-08-15,227,Y,NA,NA,NA,W,corn,NA,2019-05-15,135,1600,NA,NA,-1.6582280766035324,0.6778797084291569,NA,1.6
75,4,"Fisk et al., 2001",2001,MI,42.441427,-85.375561,4,2,0.9297,NA,loam,legume,non-grass,N,summer,after,perennial,16.8,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-05-15,135,1700,NA,NA,-0.2231435513142097,-0.3352608494349158,NA,1.7
76,5,Forcella 2013,2013,MN,45.68333333,-95.8,4,2,0.6512,NA,loam,grass,grass,Y,spring,before,summer annual,73,2018-09-02,245,NA,2019-06-11,162,NA,M,soybean,NA,2019-06-11,162,6000,282,0,-3.420065865966538,-3.4011973816621555,-0.23841102344499823,6
77,5,Forcella 2013,2013,MN,45.68333333,-95.8,4,2,0.6512,NA,loam,grass,grass,Y,spring,before,summer annual,73,2018-09-20,263,NA,2019-06-14,165,NA,M,soybean,NA,2019-06-14,165,6000,267,0,0,0.9873866535578852,0,6
78,6,Delate et al. 2012,2012,IA,41.30317,-94.45955,4,2,0.8276,NA,silty clay loam,mix,non-grass,Y,summer,after,summer annual,84,2018-10-31,304,NA,2019-05-25,145,NA,M,soybean,NA,2019-05-25,145,NA,206,0,NA,0.4519851237430574,-0.1022109067549301,NA
79,6,Delate et al. 2012,2012,IA,41.30317,-94.45955,4,2,0.8276,NA,silty clay loam,mix,non-grass,Y,summer,after,summer annual,108,2018-10-31,304,NA,2019-05-25,145,NA,M,soybean,NA,2019-05-25,145,NA,206,0,NA,-0.11332868530700312,-0.15163019960192337,NA
80,6,Delate et al. 2012,2012,IA,41.30317,-94.45955,4,2,0.8276,NA,silty clay loam,mix,non-grass,Y,summer,after,summer annual,84,2018-10-31,304,NA,2019-05-25,145,NA,M,corn,NA,2019-05-25,145,NA,206,0,NA,1.13599982073973,-2.497457762341226,NA
81,6,Delate et al. 2012,2012,IA,41.30317,-94.45955,4,2,0.8276,NA,silty clay loam,mix,non-grass,N,summer,after,summer annual,108,2018-10-31,304,NA,2019-05-25,145,NA,M,corn,NA,2019-05-25,145,NA,206,0,NA,2.2003941520974983,-2.5163857722267444,NA
82,7,"Gallagher et al., 2003",2003,OH,40.8051,-81.9351,4,2,0.9375,2.9,silt loam,grass,grass,N,summer,after,summer annual,100,2018-09-15,258,Y,NA,NA,NA,H,soybean,NA,2019-05-11,131,3400,NA,NA,-0.11332868530700312,NA,0.2451224580329849,3.4
83,7,"Gallagher et al., 2003",2003,OH,40.8051,-81.9351,4,2,0.9375,2.9,silt loam,grass,grass,N,summer,after,summer annual,100,2018-09-15,258,Y,NA,NA,NA,H,soybean,NA,2019-05-05,125,3500,NA,NA,-0.07145896398214498,NA,0.20763936477824455,3.5
84,7,"Gallagher et al., 2003",2003,OH,40.8051,-81.9351,4,2,0.9375,2.9,silt loam,legume,non-grass,N,summer,after,summer annual,22,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-04-20,110,4500,NA,NA,0.1758906664636642,NA,-0.1261512853269,4.5
85,7,"Gallagher et al., 2003",2003,OH,40.8051,-81.9351,4,2,0.9375,2.9,silt loam,legume,non-grass,N,summer,after,summer annual,22,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-04-25,115,4100,NA,NA,1.1786549963416462,NA,0.05715841383994862,4.1
86,8,"Gieske et al., 2016",2016,MN,45.25,-95.2647,4,2,0.6486,NA,silt loam,brassica,non-grass,Y,summer,after,summer annual,19,2018-08-18,230,NA,NA,NA,NA,none,corn,NA,2019-06-07,158,3831,NA,NA,NA,0.008298802814695064,-0.02150620522096362,3.831
87,8,"Gieske et al., 2016",2016,MN,45.25,-95.2647,4,2,0.6486,NA,silt loam,brassica,non-grass,Y,summer,after,summer annual,19,2018-08-23,235,NA,NA,NA,NA,none,corn,NA,2019-05-22,142,3019,NA,NA,NA,0.3364722366212129,-0.008968669982760375,3.019
88,8,"Gieske et al., 2016",2016,MN,44.72,-93.11223,4,2,0.8367,NA,loam,brassica,non-grass,Y,summer,after,summer annual,19,2018-08-19,231,NA,NA,NA,NA,none,corn,NA,2019-05-26,146,2612,NA,NA,NA,0.6931471805599453,0.0870113769896297,2.612
89,8,"Gieske et al., 2016",2016,MN,44.72,-93.11223,4,2,0.8367,NA,loam,brassica,non-grass,Y,summer,after,summer annual,19,2018-08-19,231,NA,NA,NA,NA,none,corn,NA,2019-05-16,136,2767,NA,NA,NA,0.1112256351102244,-0.018868484304382805,2.767
90,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-04-27,117,NA,M,corn,NA,2019-04-27,117,8130,242,0,-2.5466840094842436,-1.6341305250244718,-5.498192290922892,8.13
91,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-04-27,117,NA,M,corn,NA,2019-04-27,117,5430,242,0,-0.3894647667617233,-0.49469624183610705,-1.1807041773865816,5.43
92,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-24,144,NA,M,corn,NA,2019-05-24,144,3410,269,0,-0.3692620594442038,0.19845093872383823,-0.1973780441762683,3.41
93,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-24,144,NA,M,corn,NA,2019-05-24,144,4830,269,0,-0.8735288725360734,-0.7537718023763802,-0.11501234485728512,4.83
