obs_no,study,pub_reference,loc_citystate,lat,long,spec,type,term_meth,bio_kgha,plant_y,plant_mo,plant_mday,term_y,term_mo,term_mday
118,12,"Crawford et al., 2018","Urbana, IL",40.076623,-88.239866,canola,brassica,herbicide,1205,NA,NA,NA,NA,NA,NA
119,12,"Crawford et al., 2018","Urbana, IL",40.076623,-88.239866,rye,grass,herbicide,2375,NA,NA,NA,NA,NA,NA
120,12,"Crawford et al., 2018","Urbana, IL",40.076623,-88.239866,canola,brassica,herbicide,2360,NA,NA,NA,NA,NA,NA
121,12,"Crawford et al., 2018","Urbana, IL",40.076623,-88.239866,rye,grass,herbicide,9003,NA,NA,NA,NA,NA,NA
122,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,austrian winter pea,legume,herbicide,223,NA,9,NA,NA,4,30
123,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,hairy vetch,legume,herbicide,815,NA,9,NA,NA,4,30
124,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,crimson clover,legume,herbicide,436,NA,9,NA,NA,4,30
125,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,oilseed radish,brassica,herbicide,0,NA,9,NA,NA,4,30
126,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,winter oat,grass,herbicide,135,NA,9,NA,NA,4,30
127,13,"Cornelius and Bradley,","Moberly, Missouri",39.418369,-92.438237,italian ryegrass,grass,herbicide,953,NA,9,NA,NA,4,30
128,13,"Cornelius and Bradley,","Moberly, Missouri",39.418369,-92.438237,cereal rye + hairy vetch,mix,herbicide,2774,NA,9,NA,NA,4,30
129,13,"Cornelius and Bradley,","Moberly, Missouri",39.418369,-92.438237,cereal rye,grass,herbicide,2291,NA,9,NA,NA,4,30
130,13,"Cornelius and Bradley,","Moberly, Missouri",39.418369,-92.438237,winter wheat,grass,herbicide,1424,NA,9,NA,NA,4,30
131,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
132,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
133,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
134,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
135,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
136,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
137,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
138,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
139,14,"Currie and Klocke, 2005","Garden City, Kansas",37.989331,-100.814511,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,NA
140,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,barley,grass,herbicide,3170,NA,9,7,NA,6,6
141,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,rye,grass,herbicide,6310,NA,9,7,NA,6,6
142,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,triticale,grass,herbicide,7160,NA,9,7,NA,6,6
143,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,wheat,grass,herbicide,6710,NA,9,7,NA,6,6
144,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,barley,grass,herbicide,130,NA,9,7,NA,5,23
145,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,rye,grass,herbicide,2890,NA,9,7,NA,5,23
146,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,triticale,grass,herbicide,750,NA,9,7,NA,5,23
147,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,wheat,grass,herbicide,2170,NA,9,7,NA,5,23
148,15,"Williams et al., 1998","Ithaca, Nebraska",41.145575,-96.498209,vetch,legume,herbicide,650,NA,9,7,NA,5,23
149,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,austrian winter pea,legume,herbicide,NA,NA,9,NA,NA,4,30
150,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,hairy vetch,legume,herbicide,NA,NA,9,NA,NA,4,30
151,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,crimson clover,legume,herbicide,NA,NA,9,NA,NA,4,30
152,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,oilseed radish,brassica,herbicide,NA,NA,9,NA,NA,4,30
153,13,"Cornelius and Bradley,","Columbia, Missouri",38.89805556,-92.37055556,winter oat,grass,herbicide,NA,NA,9,NA,NA,4,30
154,13,"Cornelius and Bradley,","Moberly, Missouri",39.418369,-92.438237,italian ryegrass,grass,herbicide,NA,NA,9,NA,NA,4,30
155,13,"Cornelius and Bradley,","Moberly, Missouri",39.418369,-92.438237,cereal rye + hairy vetch,mix,herbicide,NA,NA,9,NA,NA,4,30
156,13,"Cornelius and Bradley,","Moberly, Missouri",39.418369,-92.438237,cereal rye,grass,herbicide,NA,NA,9,NA,NA,4,30
157,13,"Cornelius and Bradley,","Moberly, Missouri",39.418369,-92.438237,winter wheat,grass,herbicide,NA,NA,9,NA,NA,4,30
