obs_no,study,pub_reference,pub_year,loc_citystate,lat,long,exp_type,reps,aridity_index,om_pct,soil_type,ph,cropsys_tillage,msmt_season,msmt_planting,weed_group,cc_spec,cc_type,cc_plmo,cc_plmo2,cc_pldom,cc_plden_kgha,cc_plmeth,cc_termmo,cc_termmo2,cc_termdom,cc_termmeth,cc_termmeth2,crop_follow,crop_plmo,crop_plmo2,crop_pldom,cc_biomass_kgha,cc_biomass_se,cc_wden_se,cc_wden_se,ctl_wden,ctl_wden_se,cc_wbio,cc_wbio_se,ctl_wbio,ctl_wbio_se,cc_cropyield_kgha,cc_cropyield_se,ctl_cropyield_kgha,ctl_cropyield_se
16,2,Bernstein et al. (2011),2011,"Arlington, WI",43.3375,-89.37376,RCBD,4,0.8539,4.15,silt loam,6.35,Y,summer,after,NR,cereal rye,grass,Oct,10,NR,180,drilled,Jun,6,NR,roller crimper,M,soybean,Jun,6,NR,186,NR,NR,NR,NR,NR,6,NR,26,NR,2751,NR,3618,NR
17,2,Bernstein et al. (2011),2011,"Arlington, WI",43.3375,-89.37376,RCBD,4,0.8539,4.15,silt loam,6.35,Y,summer,after,NR,cereal rye,grass,Oct,10,NR,180,drilled,Jun,6,NR,mowed,M,soybean,Jun,6,NR,345,NR,NR,NR,NR,NR,10,NR,26,NR,2599,NR,3618,NR
18,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,1,herbicide 2x,H,soybean,May,5,14,375,NR,2.5,NR,8.8,NR,45.3,NR,60.1,NR,2890,NR,2570,NR
19,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,8,herbicide 2x,H,soybean,May,5,14,851,NR,2.3,NR,8.8,NR,26.8,NR,60.1,NR,2900,NR,2570,NR
20,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,20,herbicide 2x,H,soybean,May,5,14,2185,NR,1.6,NR,8.8,NR,29.2,NR,60.1,NR,3310,NR,2570,NR
21,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,1,herbicide 1x,H,soybean,May,5,14,375,NR,56.6,NR,6.4,NR,344.8,NR,64.4,NR,300,NR,2840,NR
22,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,8,herbicide 1x,H,soybean,May,5,14,851,NR,37.4,NR,6.4,NR,221.3,NR,64.4,NR,780,NR,2840,NR
23,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,20,herbicide 1x,H,soybean,May,5,14,2185,NR,14.4,NR,6.4,NR,146.3,NR,64.4,NR,1060,NR,2840,NR
24,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,1,herbicide  1x + mowing,D,soybean,May,5,14,375,NR,12.1,NR,6.4,NR,47.8,NR,64.4,NR,2130,NR,2840,NR
25,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,8,herbicide  1x + mowing,D,soybean,May,5,14,851,NR,4.1,NR,6.4,NR,73.1,NR,64.4,NR,2690,NR,2840,NR
26,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,20,herbicide  1x + mowing,D,soybean,May,5,14,2185,NR,3.6,NR,6.4,NR,20.9,NR,64.4,NR,2920,NR,2840,NR
27,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NR,silt loam,NR,N,summer,after,summer annual,cereal rye,grass,Oct,10,18,125,drilled,May,5,28,herbicide 2x,H,soybean,May,5,30,3768,NR,2.1,NR,0.8,NR,7.5,NR,1.2,NR,3140,NR,1780,NR
28,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,spring,before,winter annual,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,3100,NR,53,NR,91,NR,65.7,NR,234,NR,NR,NR,NR,NR
29,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,spring,before,winter annual,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,5300,NR,29,NR,91,NR,52.5,NR,234,NR,NR,NR,NR,NR
30,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,spring,before,winter annual,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,4100,NR,20.3,NR,91,NR,51.4,NR,234,NR,NR,NR,NR,NR
31,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,spring,before,winter annual,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1900,NR,29,NR,91,NR,46.2,NR,234,NR,NR,NR,NR,NR
32,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,spring,before,winter annual,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2200,NR,19.5,NR,30.5,NR,19.9,NR,43,NR,NR,NR,NR,NR
33,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,spring,before,winter annual,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1800,NR,39.5,NR,30.5,NR,35.1,NR,43,NR,NR,NR,NR,NR
34,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,spring,before,winter annual,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1300,NR,17.3,NR,30.5,NR,12.5,NR,43,NR,NR,NR,NR,NR
35,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,spring,before,winter annual,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,NR,NR,NR,NR,30.5,NR,NR,NR,43,NR,NR,NR,NR,NR
36,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,spring,before,winter annual,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2000,NR,21,NR,26.8,NR,70.8,NR,124,NR,NR,NR,NR,NR
37,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,spring,before,winter annual,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2300,NR,19.5,NR,26.8,NR,51.7,NR,124,NR,NR,NR,NR,NR
38,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,spring,before,winter annual,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2200,NR,20.5,NR,26.8,NR,42.4,NR,124,NR,NR,NR,NR,NR
39,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,spring,before,winter annual,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1400,NR,22.5,NR,26.8,NR,74.4,NR,124,NR,NR,NR,NR,NR
40,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,spring,before,winter annual,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2800,NR,29.3,NR,81.8,NR,9.4,NR,76.3,NR,NR,NR,NR,NR
41,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,spring,before,winter annual,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2400,NR,57.5,NR,81.8,NR,41.1,NR,76.3,NR,NR,NR,NR,NR
42,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,spring,before,winter annual,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1600,NR,27.8,NR,81.8,NR,26.3,NR,76.3,NR,NR,NR,NR,NR
43,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,spring,before,winter annual,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1700,NR,77.3,NR,81.8,NR,56.6,NR,76.3,NR,NR,NR,NR,NR
44,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,summer annual,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,3100,NR,4,NR,42.1,NR,2.2,NR,8.6,NR,NR,NR,NR,NR
45,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,summer annual,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,5300,NR,4.8,NR,42.1,NR,2.4,NR,8.6,NR,NR,NR,NR,NR
46,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,summer annual,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,4100,NR,46.5,NR,42.1,NR,2.3,NR,8.6,NR,NR,NR,NR,NR
47,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,summer annual,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1900,NR,7.8,NR,42.1,NR,2.9,NR,8.6,NR,NR,NR,NR,NR
48,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,summer annual,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2200,NR,29.8,NR,37.8,NR,2.2,NR,7.9,NR,NR,NR,NR,NR
49,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,summer annual,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1800,NR,36.3,NR,37.8,NR,2.4,NR,7.9,NR,NR,NR,NR,NR
50,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,summer annual,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1300,NR,10.5,NR,37.8,NR,2.3,NR,7.9,NR,NR,NR,NR,NR
51,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,summer annual,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,NR,NR,NR,NR,37.8,NR,2.9,NR,7.9,NR,NR,NR,NR,NR
52,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,summer annual,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2000,NR,22.5,NR,18.8,NR,4.7,NR,8.6,NR,NR,NR,NR,NR
53,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,summer annual,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2300,NR,14,NR,18.8,NR,12.2,NR,8.6,NR,NR,NR,NR,NR
54,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,summer annual,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2200,NR,17.3,NR,18.8,NR,4.5,NR,8.6,NR,NR,NR,NR,NR
55,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,summer annual,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1400,NR,24.5,NR,18.8,NR,NR,NR,8.6,NR,NR,NR,NR,NR
56,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,summer annual,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2800,NR,5.8,NR,12.3,NR,4.7,NR,7.9,NR,NR,NR,NR,NR
57,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,summer annual,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2400,NR,15.5,NR,12.3,NR,12.2,NR,7.9,NR,NR,NR,NR,NR
58,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,summer annual,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1600,NR,13,NR,12.3,NR,4.5,NR,7.9,NR,NR,NR,NR,NR
59,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,summer annual,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1700,NR,9.8,NR,12.3,NR,NR,NR,7.9,NR,NR,NR,NR,NR
60,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,perennial,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,3100,NR,5.5,NR,10.3,NR,0.8,NR,1.1,NR,NR,NR,NR,NR
61,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,perennial,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,5300,NR,5.3,NR,10.3,NR,0.8,NR,0.4,NR,NR,NR,NR,NR
62,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,perennial,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,4100,NR,9.5,NR,10.3,NR,0.8,NR,1.9,NR,NR,NR,NR,NR
63,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,perennial,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1900,NR,13,NR,10.3,NR,0.8,NR,1.2,NR,NR,NR,NR,NR
64,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,perennial,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2200,NR,5.8,NR,11.5,NR,4.1,NR,0.7,NR,NR,NR,NR,NR
65,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,perennial,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1800,NR,9.3,NR,11.5,NR,4.1,NR,2.1,NR,NR,NR,NR,NR
66,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,perennial,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1300,NR,7.8,NR,11.5,NR,4.1,NR,1.1,NR,NR,NR,NR,NR
67,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NR,loam,6.7,N,summer,after,perennial,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,NR,NR,NR,NR,11.5,NR,4.1,NR,NR,NR,NR,NR,NR,NR
68,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,perennial,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2000,NR,22.5,NR,18.8,NR,2.6,NR,2.9,NR,NR,NR,NR,NR
69,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,perennial,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2300,NR,14,NR,18.8,NR,2.6,NR,2.7,NR,NR,NR,NR,NR
70,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,perennial,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2200,NR,17.3,NR,18.8,NR,2.6,NR,2.3,NR,NR,NR,NR,NR
71,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,perennial,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1400,NR,24.5,NR,18.8,NR,2.6,NR,3.7,NR,NR,NR,NR,NR
72,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,perennial,santiago medic,legume,Aug,8,NR,13.4,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2800,NR,10.5,NR,16.5,NR,0.8,NR,1.1,NR,NR,NR,NR,NR
73,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,perennial,mogul medic,legume,Aug,8,NR,15.7,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,2400,NR,19.8,NR,16.5,NR,0.8,NR,4,NR,NR,NR,NR,NR
74,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,perennial,red clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,winter kill,W,corn,May,5,15,1600,NR,32.5,NR,16.5,NR,0.8,NR,4.2,NR,NR,NR,NR,NR
75,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NR,loam,6.7,N,summer,after,perennial,berseem clover,legume,Aug,8,NR,16.8,drilled,NR,NR,NR,herbicide,H,corn,May,5,15,1700,NR,11.8,NR,16.5,NR,0.8,NR,1,NR,NR,NR,NR,NR
76,5,Forcella 2013,2013,"Stevens County, MN",45.68333333,-95.8,RCBD-splitplot,4,0.6512,NR,loam,7.3,Y,spring,before,summer annual,rye,grass,Sep,9,2,73,drilled,Jun,6,11,roller crimper,M,soybean,Jun,6,11,6000,1040,1,0.3,30,7.5,1,1,453,131.3,2080,110,2640,190
77,5,Forcella 2013,2013,"Stevens County, MN",45.68333333,-95.8,RCBD-splitplot,4,0.6512,NR,loam,7.3,Y,spring,before,summer annual,rye,grass,Sep,9,20,73,drilled,Jun,6,14,roller crimper,M,soybean,Jun,6,14,6000,890,51,46.4,19,8.2,35,8.7,35,8.7,1960,120,1960,120
78,6,Delate et al. 2012,2012,Greenfield IA,41.30317,-94.45955,RCBD,4,0.8276,NR,silty clay loam,NR,Y,summer,after,summer annual,winter wheat / Austrian winter pea,mix,Oct,10,31,84,drilled,May,5,25,roller crimper,M,soybean,May,5,25,NR,NR,8.8,NR,5.6,NR,NR,NR,NR,NR,2862,NR,3170,NR
79,6,Delate et al. 2012,2012,Greenfield IA,41.30317,-94.45955,RCBD,4,0.8276,NR,silty clay loam,NR,Y,summer,after,summer annual,rye / vetch,mix,Oct,10,31,108,drilled,May,5,25,roller crimper,M,soybean,May,5,25,NR,NR,5,NR,5.6,NR,NR,NR,NR,NR,2724,NR,3170,NR
